,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCt4t-jeY85JegMlZ-E5UWtA,emCd4fr93rs,AajTak Live TV | Sushant Case Updates | COVID-19 | Breaking News | Hindi News 24*7 Live | aaj tk laaiv,2020-07-28T18:00:13Z,105979457,465754,102553,0,0,Aaj Tak,40800000
1,UCPP3etACgdUWvizcES1dJ8Q,DupLX2bHFKw,News18 India Live | News in Hindi | Latest COVID-19 Updates | aaj kii taazaa khbr 24X7,2020-07-26T17:16:55Z,6971136,27283,6101,0,0,News18 India,9780000
2,UC-lY8kD2lCHbwtahZ5lZVXA,oeAN8Xxz0q4,Dr. Lee presents Can&#39;t Touch This Covid Parody,2020-07-28T19:02:42Z,5827488,66665,556,2547,0,Quentin Lee,9100
3,UCMtFAi84ehTSYSE9XoHefig,Lv0Tosgb0Ss,"A Desperate Trump Promises New Covid Strategy, Sends Bizarre Well Wishes To Ghislaine Maxwell",2020-07-23T03:50:00Z,2854651,44708,2175,7452,0,The Late Show with Stephen Colbert,7740000
4,UCVgO39Bk5sMo66-6o6Spn6Q,yy5YhuCAwPo,Watch ABC News live,2020-07-28T01:40:14Z,2654050,4094,979,0,0,ABC News (Australia),1150000
5,UCFvH-hGEKg2elZ7k-_5eQEg,unmyiQuAwSk,Juntos podemos contra el COVID-19,2020-07-23T21:59:01Z,2576839,0,0,0,0,CA Public Health,5050
6,UCPSfjD7o1CQZXzdAy56c8kg,x6cTDGqcUpA,Mask Test: Covid vs Surgical Mask. Do Masks Work?,2020-07-28T15:00:16Z,1994920,35983,2026,4374,0,Uncle Rob,350000
7,UCVTyTA7-g9nopHeHbeuvpRA,eN3QaNtcsZ4,"Trump Holds Coronavirus Briefing, Threatens to Send More Secret Police: A Closer Look",2020-07-23T01:00:06Z,1793334,33624,908,4892,0,Late Night with Seth Meyers,3830000
8,UCH1oRy1dINbMVp3UFWrKP0w,PpjFZX40pM0,I&#39;m 16 and went to the hospital twice for COVID-19. This is what it&#39;s like l GMA Digital,2020-07-27T17:58:21Z,1411196,19352,1051,7768,0,Good Morning America,1870000
9,UCXIJgqnII2ZOINSWNOGFThA,uQS-Er4amRA,Tucker: Coronavirus response is being driven by politics,2020-07-24T00:39:13Z,1385962,48128,2744,16171,0,Fox News,5900000
10,UC9k-yiEpRHMNVOnOi_aQK8w,AL85RiXmcZM,Man Allegedly Buys Lamborghini With COVID-19 Relief Money,2020-07-28T22:51:44Z,1248512,32777,684,3632,0,Inside Edition,7780000
11,UC7QZIf0dta-XPXsp9Hv4dTw,sfAvNlnmhss,EN DIRECTO  #CORONAVIRUS toda la actualidad nacional e internacional l RTVE Noticias 24h,2020-07-22T17:39:24Z,1150837,2904,996,0,0,RTVE Noticias,116000
12,UCIV7G_xiYLekqOvqlkcwoVA,DXz3Dsc-RhQ,COVID-19 testing: do you have any of these symptoms?,2020-07-23T01:01:44Z,1233045,0,0,0,0,VicGovDHHS,1860
13,UChirEOpgFCupRAk5etXqPaA,HjVJ4sEIZOs,Coronavirus Updates: $600 Weekly Unemployment Aid Expires; CDC Updates School Reopening Guidelines,2020-07-25T00:29:49Z,1007931,2678,3183,11,0,Bloomberg QuickTake News,482000
14,UCupvZG-5ko_eiXAupbDfxWw,J5DMdMCyGhc,Don Lemon: President Trump is beaten by the coronavirus,2020-07-24T03:36:07Z,898879,15130,8378,13911,0,CNN,10400000
15,UCDCMjD1XIAsCZsYHNMGVcog,_GAcwm4dhIw,"Fever is not a predominant COVID symptom,Says AIIMS | V6 News",2020-07-27T06:17:34Z,897770,4484,544,381,0,V6 News Telugu,5310000
16,UCBi2mrWuNuyYy4gbM6fU18Q,Xl-xQ36d2lA,US coronavirus deaths soar as officials call for shutdowns | WNT,2020-07-25T00:23:25Z,814690,5159,2662,7810,0,ABC News,9560000
17,UCrp_UI8XtuYfpiqluWLD7Lw,z95Ly3hY6AY,Dr. Anthony Fauci: Coronavirus will never be eradicated,2020-07-22T19:08:31Z,798123,4940,6294,7578,0,CNBC Television,822000
18,UCupvZG-5ko_eiXAupbDfxWw,fSgEj5vrgC0,&#39;You think everything is fine?&#39; Keilar grills GOP lawmaker on Covid-19,2020-07-23T01:34:04Z,735715,9130,744,8442,0,CNN,10400000
