,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCLXo7UDZvByw2ixzpQCufnA,n6QwnzbRUyA,How coronavirus spreads outdoors vs. indoors,2020-05-28T12:00:21Z,3858010,65233,6472,5497,0,Vox,8550000
1,UCarEovlrD9QY-fy-Z6apIDQ,nrKxOnNaGHc,How Coronavirus Broke America | Patriot Act with Hasan Minhaj | Netflix,2020-06-01T10:00:27Z,1970837,71044,2032,5936,0,Patriot Act,1320000
2,UC0p5jTq6Xx_DosDFxVXnWaQ,f9v6givfTEA,Covid-19: why the economy could fare worse than you think | The Economist,2020-05-27T14:00:21Z,1922761,25595,1383,2121,0,The Economist,1560000
3,UCeY0bbntWzzVIaj2z3QigXg,2HnlBoCFOGk,Growing Concern Over Spread Of Coronavirus Among George Floyd Protesters | NBC Nightly News,2020-06-02T00:03:43Z,1358149,6610,2393,6282,0,NBC News,3690000
4,UC6n9tFQOVepHP3TIeYXnhSA,kjWwb1XKloM,COVID-19 PSA - Dr. Bonnie Henry,2020-05-28T18:31:03Z,1036478,82,15,29,0,ProvinceofBC,12600
5,UCeY0bbntWzzVIaj2z3QigXg,MhWlXGJwlPM,Protests Leave Little Space For Social Distancing As Coronavirus Rages On | NBC Nightly News,2020-05-31T23:54:32Z,1008813,3781,2032,4271,0,NBC News,3690000
6,UCqnbDFdCpuN8CMEg0VuEBqA,CCRiiBsnxkI,How India's Police Used a Pandemic to Boost Its Image | Coronavirus News,2020-06-01T23:00:02Z,981191,7689,2642,2246,0,The New York Times,3090000
7,UCrp_UI8XtuYfpiqluWLD7Lw,Dy054kO1tyg,New York Gov. Cuomo speaks on coronavirus and protests over police brutality -- 6/2/2020,2020-06-02T16:24:40Z,673032,5350,2427,3436,0,CNBC Television,822000
8,UCeY0bbntWzzVIaj2z3QigXg,Ta6GdykhANM,"New York Governor Cuomo Holds Briefing On Coronavirus, George Floyd Protests | NBC News",2020-06-01T16:41:58Z,578775,4191,930,1448,0,NBC News,3690000
9,UCPgLNge0xqQHWM5B5EFH9Cg,FleLrvlAFgE,Huge locust swarms overrun Indian cities left exposed by Coronavirus lockdown,2020-05-27T14:47:52Z,518786,1288,306,0,0,The Telegraph,1340000
10,UCr5jq6MC_VCe1c5ciIZtk_w,hkIMlnlIkaU,What&#39;s Happening with Covid-19 in Vietnam,2020-06-02T18:55:20Z,444469,18186,266,4639,0,Center for Strategic & International Studies,117000
11,UC_Lnb8ZHqqgLbp-7hltuT9w,CGLmH3wfa1k,"Indonesia's COVID-19 Response: Too Little, Too Late?",2020-05-29T00:00:02Z,426417,5259,276,2918,0,CNA Insider,422000
