,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UC3XTzVzaHQEd30rQbuvCtTQ,R652nwUcJRA,Coronavirus IX: Evictions: Last Week Tonight with John Oliver (HBO),2020-06-29T06:30:01Z,6666506,135749,5850,23909,0,LastWeekTonight,8300000
1,UCVTyTA7-g9nopHeHbeuvpRA,7_HxdCHqFiU,Trump Pretends Coronavirus Doesn't Exist: A Closer Look,2020-06-26T01:00:00Z,3026735,51274,1468,8344,0,Late Night with Seth Meyers,3830000
2,UCMtFAi84ehTSYSE9XoHefig,_AjJNpmyyEY,Trump&#39;s Risky Rally Tour Touches Down In Covid Hotspot Arizona As Cases Spike In 29 States,2020-06-24T03:50:00Z,2972683,45795,2108,6945,0,The Late Show with Stephen Colbert,7740000
3,UCMtFAi84ehTSYSE9XoHefig,P72KGROeZp8,"As Arizona Covid Cases Spike, Trump Delivers Speech To Packed Crowd Of Maskless Student Supporters",2020-06-25T03:50:00Z,2547864,38331,1260,5061,0,The Late Show with Stephen Colbert,7740000
4,UCa7SbIMVl5UHycxUbHOpmow,H_vNWmqWmZc,Pastor John Hagee: Coronavirus: Dress Rehearsal for the New World Order,2020-06-28T13:30:11Z,2250956,45394,3147,9566,0,Hagee Ministries,192000
5,UCMtFAi84ehTSYSE9XoHefig,iHVI6X_f3rM,Jon Stewart Returns With Advice From 1918 And Thoughts On Trump&#39;s Handling Of The Coronavirus,2020-06-25T07:35:01Z,2175453,27951,776,2662,0,The Late Show with Stephen Colbert,7740000
6,UCMSsLqxqvZsNXi0Z-VjN89A,NQ0FaaJ73xc,18 Coronavirus Autopsies (This is what they found in the Brain) | COVID-19,2020-06-24T20:03:20Z,1325578,27072,902,2811,0,Doctor Mike Hansen,375000
7,UCaXkIU1QidjPwiAYu6GcHjg,jUbY_EtNytw,"Amid COVID-19 Surge, U.S. Stuck With 'Same Horrible Choice' As In Start Of Pandemic | All In | MSNBC",2020-06-27T02:06:56Z,1118885,18387,899,6305,0,MSNBC,3370000
8,UCaXkIU1QidjPwiAYu6GcHjg,KP44tlyhT34,Trump Says The Nation Has &#39;A Little Work To Do&#39; As COVID-19 Rages | The 11th Hour | MSNBC,2020-06-27T04:54:28Z,1025126,9767,742,6038,0,MSNBC,3370000
9,UCoMdktPbSTixAyNGwb-UYkQ,xrEd2t93ah4,Major incident declared in Bournemouth as beaches packed - UK COVID-19 update,2020-06-25T18:35:29Z,1006664,4121,1837,5616,0,Sky News,2570000
10,UCqVHGwQCmmGa2hjS7ydN4sQ,pWA4viXVaMs,COVID-19[?] CUIDADO [?][?] EVITEMOS LLEGAR AL DIA 6[?]DE LOS SINTOMAS !![?],2020-06-30T00:15:09Z,925092,19848,1339,1672,0,Dr. Luis Antonio Pacora Camargo,231000
11,UCupvZG-5ko_eiXAupbDfxWw,KXXRYmwEcWM,Anderson Cooper: Trump is pretending Covid-19 is gone,2020-06-24T02:05:26Z,899825,13803,2462,9799,0,CNN,10400000
12,UCupvZG-5ko_eiXAupbDfxWw,02Wi5GSkdNk,Maps show explosive growth of coronavirus in US,2020-06-29T21:27:40Z,892750,7688,1637,6194,0,CNN,10400000
13,UCVTyTA7-g9nopHeHbeuvpRA,a62Eki0thSo,White House Press Secretary Defends Trump's Kung-Flu Coronavirus Comment,2020-06-24T09:00:01Z,871464,12567,383,1174,0,Late Night with Seth Meyers,3830000
14,UCaXkIU1QidjPwiAYu6GcHjg,NxkhUyZcZ98,A Bad Poll For Trump And Worst Day For COVID-19 Cases Yet In U.S. | The 11th Hour | MSNBC,2020-06-25T05:39:15Z,799850,9464,595,5249,0,MSNBC,3370000
15,UCrp_UI8XtuYfpiqluWLD7Lw,MR73uTTVof0,"Dr. Anthony Fauci: U.S. coronavirus outbreak could top 100,000 new cases a day",2020-06-30T20:01:12Z,777014,4429,5390,7125,0,CNBC Television,822000
16,UCTrSsPMmZavLbc3Ex7VhjDg,dnQpA2ZfaGc,I Have COVID-19.,2020-06-26T16:00:03Z,764005,57792,1863,18911,0,Brandon Herrera,655000
17,UCy0dKy89rZFR8OCbAT69wcQ,sZZBkpS3EGA,"10 Million Coronavirus Cases &amp; 500,000 Deaths Worldwide (World Map Timelapse)",2020-06-28T15:22:08Z,729130,11165,517,6307,0,WawamuStats,330000
18,UCH1oRy1dINbMVp3UFWrKP0w,L6DffevUafk,This ICU nurse has a message after being diagnosed with the coronavirus l GMA Digital,2020-06-26T08:00:05Z,703188,8817,614,3373,0,Good Morning America,1870000
19,UCqf2gzmKtH3PaAbt-qgFFsw,Xu6Ym62dcqQ,Explaining Coronavirus to the Girls | OutDaughtered,2020-06-24T15:15:02Z,619708,10215,180,483,0,TLC,5770000
20,UCBvAWNV8qMKAg54rQ3qy9uA,W-rogH7BiKc,Covid-19: quem pode tomar Ivermectina?,2020-06-26T19:35:31Z,610412,24319,650,1999,0,Viver Bem,44600
