,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCUsm-fannqOY02PNN67C0KA,qM8RYN1MAh8,Noticias en Vivo (Ultima Hora): Noticieros Televisa / ForoTV,2020-03-25T17:42:02Z,17567561,33568,11144,0,0,Noticieros Televisa,3060000
1,UC85VW73bQLEjs_taFKP7TwQ,5DGwOJXSxqg,COVID-19 Animation: What Happens If You Get Coronavirus?,2020-03-28T13:21:41Z,17331974,188872,8605,13587,0,Nucleus Medical Media,2690000
2,UC3XTzVzaHQEd30rQbuvCtTQ,ElIf2DBrWzU,Coronavirus III: Last Week Tonight with John Oliver (HBO),2020-03-30T06:30:02Z,10096784,298087,10090,40563,0,LastWeekTonight,8300000
3,UCphTF9wHwhCt-BzIq-s4V-g,7sQCmgCmN7U,What Happens If You Caught The Coronavirus?,2020-03-28T15:00:02Z,8430079,185531,3430,9753,0,What If,4210000
4,UCqnbDFdCpuN8CMEg0VuEBqA,bE68xVXf8Kw,'People Are Dying': Battling Coronavirus Inside a N.Y.C. Hospital | NYT News,2020-03-26T13:30:07Z,8024248,110752,9293,30607,0,The New York Times,3090000
5,UCfm4y4rHF5HGrSr-qbvOwOg,F2YKKba6ps0,Myth-Busting Coronavirus (COVID-19) with Dr. Fauci - Give Back #WithMe,2020-03-27T18:00:10Z,6348402,80604,44445,19927,0,Lilly Singh,14900000
6,UCUHW94eEFW7hkUMVaZz4eDg,54XLXg4fYsc,How To Tell If We&#39;re Beating COVID-19,2020-03-27T17:10:04Z,5984243,147734,5623,17754,0,minutephysics,5100000
7,UC_W2CNqJ6kJr5enV3gfZ-sw,udprEtDVmIY,My Family Has Mild Coronavirus.  Here&#39;s Our Home Covid-19 Treatment Plan,2020-03-26T14:19:57Z,5658847,136466,6484,9268,0,Modern Aging - Holistic Health and Wealth After 50,110000
8,UCAuUUnT6oDeKwE6v1NGQxug,Xe8fIjxicoo,How we must respond to the coronavirus pandemic | Bill Gates,2020-03-25T17:15:59Z,4603384,72271,9427,18917,0,TED,17700000
9,UC0NaWwWghJD37rMK2AYDidg,AA2r6rca2v4,QUARANTINED: Isolated Thoughts on Coronavirus | JEFF DUNHAM,2020-03-27T22:46:13Z,3501077,111947,2196,5215,0,Jeff Dunham,2710000
