,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCVSNOxehfALut52NbkfRBaA,rKek0Y30Ctw,Chinese Police Force Family Into Coronavirus Quarantine,2020-02-09T23:20:39Z,17015632,61328,11377,9646,0,VOA News,1310000
1,UC4SUWizzKc1tptprBkWjX2Q,qJA768Jpf4U,"Global coronavirus deaths equal Sars, while new infections drop",2020-02-09T09:21:38Z,10478130,21154,4597,1060,0,South China Morning Post,1320000
2,UCPY9IKSkr2GfFW5jbgA5Qbw,I-Yd-_XIWJg,Coronavirus outbreak (covid 19) explained through 3D Medical Animation,2020-02-11T12:15:00Z,7433327,61868,2748,4724,0,Scientific Animations,0
3,UCcYzLCs3zrQIBVHYA1sK2sw,mP-mCfo4-f8,Sadhguru on Coronavirus Outbreak in China,2020-02-11T03:30:01Z,4207071,75122,4857,5963,0,Sadhguru,5400000
4,UCKqH_9mk1waLgBiL2vT5b9g,kC8GHpyr9QA,GTA5 Online Funny Moments - Missions with the Coronavirus!,2020-02-08T01:09:51Z,3614211,109015,1576,1195,0,VanossGaming,25100000
5,UC0QHWhjbe5fGJEPz3sVb6nw,YscZRozTN9s,The UPDATED Truth About The Coronavirus (Feb 2020),2020-02-05T22:00:05Z,3073920,161847,3262,21071,0,Doctor Mike,6050000
6,UCuFFtHWoLl5fauMMD5Ww2jA,TAafDOqfN3M,Patient with coronavirus speaks out,2020-02-11T13:36:25Z,2657401,20480,2385,6749,0,CBC News,2240000
7,UC07-dOwgza1IguKA86jqxNA,Ded_AxFfJoQ,Can masks protect against the new coronavirus infection?,2020-02-05T20:13:57Z,2121860,4637,2096,1822,0,World Health Organization (WHO),607000
8,UC6jEF1orhgER1Nsc174FwTg,Ma07a6svw5w,COVID-19: The Facts,2020-02-06T15:10:36Z,1850469,9734,736,458,0,3D4Medical,33400
9,UC07-dOwgza1IguKA86jqxNA,bPITHEiFWLc,What can people do to protect themselves and others from getting the new coronavirus?,2020-02-05T20:13:57Z,1756970,3127,258,319,0,World Health Organization (WHO),607000
10,UCupvZG-5ko_eiXAupbDfxWw,ZtkSYY9Z2fE,Wuhan coronavirus kills doctor who warned of outbreak,2020-02-07T08:18:15Z,1603318,15193,1050,5699,0,CNN,10400000
11,UC4SUWizzKc1tptprBkWjX2Q,gNFeo5oOuJA,Wuhan: the city under coronavirus lockdown,2020-02-06T19:27:13Z,1434491,7378,487,1642,0,South China Morning Post,1320000
12,UCknLrEdhRCp1aegoMqRaCZg,AYlzyQnSGD8,Coronavirus explained: Where it came from and how to stop it | DW News,2020-02-08T12:54:34Z,1059178,5985,587,1151,0,DW News,1640000
13,UC16niRr50-MSBwiO3YDb3RA,y6iikPfpXl0,Coronavirus kills Chinese whistleblower doctor - BBC News,2020-02-07T10:02:54Z,1050745,11276,492,4569,0,BBC News,8150000
14,UC4SUWizzKc1tptprBkWjX2Q,MPW42b8kYEg,"Life inside China's rapidly built hospitals in Wuhan, the epicentre of the coronavirus outbreak",2020-02-10T12:30:15Z,795315,3696,377,964,0,South China Morning Post,1320000
15,UCknLrEdhRCp1aegoMqRaCZg,tTCywQBB3JE,Coronavirus kills Chinese doctor punished for raising alarm | DW News,2020-02-07T09:39:32Z,686168,4743,242,1362,0,DW News,1640000
16,UCIRYBXDze5krPDzAEOxFGVA,gASCBhA2bE4,Coronavirus outbreak: should you wear a face mask?,2020-02-05T14:15:18Z,672706,5017,1967,1997,0,Guardian News,1270000
17,UC07-dOwgza1IguKA86jqxNA,qF42gZVm1Bo,How is the new coronavirus affecting people who get it?,2020-02-05T20:13:57Z,581863,885,228,189,0,World Health Organization (WHO),607000
18,UCi7Zk9baY1tvdlgxIML8MXg,RMYQjqiCSHM,"Drone footage captures the eerie, deserted streets of Wuhan, China",2020-02-06T20:29:55Z,567435,2666,170,770,0,CTV News,447000
19,UChirEOpgFCupRAk5etXqPaA,Yd21I_Twa3g,Coronavirus Could Be an Omen for the World&#39;s Next Epidemic,2020-02-06T19:15:25Z,533207,4456,824,3242,0,Bloomberg QuickTake News,482000
20,UCPgLNge0xqQHWM5B5EFH9Cg,vO5WxVF8Ddc,Coronavirus: Quarantined British passenger worried about food on cruise,2020-02-05T13:16:31Z,457084,4772,235,0,0,The Telegraph,1340000
21,UCG-iSMVtWbbwDDXgXXypARQ,o804wu5h_ms,"Coronavirus Epidemic Update 15: Underreporting, Prevention, 24 Day Incubation? (COVID19)",2020-02-11T18:30:02Z,412096,7042,211,1484,0,MedCram - Medical Lectures Explained CLEARLY,804000
22,UCfRZKrhLs6HbL5jEc3OL82w,9aHlFkatMIk,Comment reagissent les poumons face au Coronavirus de la maladie Covid-19 ?,2020-02-05T16:07:18Z,319357,2116,115,359,0,Hopitaux Universitaires de Genève,108000
23,UCtxJFU9DgUhfr2J2bveCHkQ,RvyQJHKicXk,Why labs are printing the coronavirus genome,2020-02-11T15:00:06Z,312791,7098,484,491,0,Verge Science,1000000
24,UCkIEEtcYxyshaVZ9ViNuAZA,ALQTdCYGISw,Professor Neil Ferguson on the current 2019-nCoV coronavirus outbreak.,2020-02-05T19:55:53Z,231712,2301,158,809,0,Jameel Institute,2860
25,UCWp2llZdBTyQ8pZVnXDcNNg,aOZvf5NOFHs,The new Novel Coronavirus Growing in Culture,2020-02-05T07:03:54Z,189099,0,0,0,0,HKUMed,1610
26,UCrQEBjyA199n3FYtiGWSm9A,5f_wieig4iQ,RT-qPCR for diagnosing COVID-19 (former 2019-nCoV),2020-02-06T17:00:50Z,152264,1879,43,175,0,PANDORA-ID-NET Consortium,1250
27,UCfRZKrhLs6HbL5jEc3OL82w,_IiCS5r9gaU,Comment fonctionne le test de depistage du Coronavirus Covid-19 ?,2020-02-06T09:03:51Z,144784,778,47,108,0,Hopitaux Universitaires de Genève,108000
