,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UC3XTzVzaHQEd30rQbuvCtTQ,z4gBMw64aqk,Coronavirus VII: Sports: Last Week Tonight with John Oliver (HBO),2020-05-18T06:30:08Z,7056908,169094,5917,19365,0,LastWeekTonight,8300000
1,UCVTyTA7-g9nopHeHbeuvpRA,5LBSZnZ2BbY,Obama Speaks Out About Trump's Coronavirus Failures: A Closer Look,2020-05-19T03:30:00Z,3491653,48165,2371,10363,0,Late Night with Seth Meyers,3830000
2,UCMSsLqxqvZsNXi0Z-VjN89A,y6h8TIxeg1g,12 Coronavirus Autopsy Cases Reveal TRUTH About How Coronavirus Patients Dying,2020-05-14T15:45:04Z,2740505,63617,2208,6395,0,Doctor Mike Hansen,375000
3,UCVTyTA7-g9nopHeHbeuvpRA,UySRQMXvBgg,Trump and Fox Try to Distract from Coronavirus with &quot;Obamagate&quot;: A Closer Look,2020-05-14T03:30:04Z,2497023,40748,1981,12752,0,Late Night with Seth Meyers,3830000
4,UCVTyTA7-g9nopHeHbeuvpRA,W3EWcRNyYB8,Whistleblower Rick Bright's Damning Testimony on Trump's COVID-19 Failures: A Closer Look,2020-05-15T03:30:07Z,2274220,39713,1219,6763,0,Late Night with Seth Meyers,3830000
5,UCSwXe2WReWhNdjKRTh92b9g,uJTaCl5gNOc,IVERMECTINA COVID 19,2020-05-17T17:53:24Z,1882130,42907,1362,3674,0,Dr. Veller,211000
6,UC9ZuezXHTQu3y8Qi39tr10Q,PjvPMpDBTeI,Dante Gebel #663 | Covid-Fear (La pandemia del miedo),2020-05-18T16:38:51Z,1778337,37319,2774,3298,0,Dante Gebel,1250000
7,UCupvZG-5ko_eiXAupbDfxWw,G6-7oYSjeb4,A look into coronavirus case trends as states reopen,2020-05-17T14:15:22Z,1470458,8569,2447,7323,0,CNN,10400000
8,UCupvZG-5ko_eiXAupbDfxWw,OOvENoZMmK4,This is how quickly coronavirus can spread,2020-05-14T22:58:08Z,1301175,9360,2139,4632,0,CNN,10400000
9,UCeY0bbntWzzVIaj2z3QigXg,V8YSmDdF-xw,Watch Full Coronavirus Coverage - May 15 | NBC News Now (Live Stream),2020-05-16T05:42:52Z,1229579,5741,2098,519,0,NBC News,3690000
10,UChFsYLqPUyLiZnfRog6wiZA,EQ-ATT_Cd6M,Why We Might Not Need A Vaccine for COVID-19 | This Morning,2020-05-19T10:59:09Z,1232770,10000,1365,0,0,This Morning,1820000
11,UCHpw8xwDNhU9gdohEcJu4aA,xeHukQ6Ux1k,Fighting a locust plague amid Covid-19 in east Africa,2020-05-15T06:58:57Z,1227416,7613,478,1329,0,The Guardian,1390000
12,UCqnbDFdCpuN8CMEg0VuEBqA,4Uk8WOAGFdE,Inside Two N.Y.C. Morgues Overwhelmed With Coronavirus | Coronavirus News,2020-05-19T17:00:03Z,922962,6079,2743,3380,0,The New York Times,3090000
