,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCxcrzzhQDj5zKJbXfIscCtg,ycrqXJYf1SU,Coronavirus: How the deadly epidemic sparked a global emergency | Four Corners,2020-02-24T10:15:00Z,12382450,73824,7079,21817,0,ABC News In-depth,382000
1,UCqnbDFdCpuN8CMEg0VuEBqA,m5fsidSOJMw,China Is Censoring Coronavirus Stories. These Citizens Are Fighting Back. | NYT News,2020-02-25T00:00:08Z,4522391,58815,3730,11429,0,The New York Times,3090000
2,UChirEOpgFCupRAk5etXqPaA,QW_7h8_CZp0,China SWAT Team Practices Taking Down Uncooperative Driver At Coronavirus Checkpoint,2020-02-24T15:17:30Z,4117338,18413,2297,1022,0,Bloomberg QuickTake News,482000
3,UCenKsdIl9gl-6D8hzLzbvpQ,w-gE_es3gpM,NUESTRA RUTINA DIARIA CON EL VIRUS EN CHINA  CONTROLAN NUESTRO RECORRIDO,2020-02-25T14:00:09Z,3211911,86974,2525,6108,0,Ni Hao Cassandra,183000
4,UCElSxbeJh0r1B3KUQT1k4eA,HSGbs0GwJUM,?Que es el Coronavirus? Causas y origen,2020-02-19T19:34:00Z,2543137,24492,1950,54,0,Top Doctors LATAM,130000
5,UC0QHWhjbe5fGJEPz3sVb6nw,RSiW6ZvPqeg,Five HONEST Coronavirus Updates | COVID-19 (Feb 2020),2020-02-19T22:15:01Z,2312774,121783,2604,13415,0,Doctor Mike,6050000
6,UC16niRr50-MSBwiO3YDb3RA,HL3TpRQ-oa4,Coronavirus: New global outbreaks emerge - BBC News,2020-02-24T22:48:32Z,2072059,18159,1634,7656,0,BBC News,8150000
7,UC16niRr50-MSBwiO3YDb3RA,UcxHL8LHI_A,"Coronavirus: World must prepare for pandemic, says WHO - BBC News",2020-02-25T08:42:18Z,2037254,17997,1559,9494,0,BBC News,8150000
8,UCKjU3KzdbJE1EFcHVqXC3_g,uE6SXsrspUg,Coronavirus outbreak: What went wrong in the early days,2020-02-25T03:30:49Z,1873471,14163,2894,0,0,CBC News: The National,815000
9,UCMSsLqxqvZsNXi0Z-VjN89A,V-7SQGPkijs,Coronavirus Autopsy Report Analysis by Dr. Mike | COVID-19 Autopsy,2020-02-21T17:45:00Z,1838497,67026,1323,6852,0,Doctor Mike Hansen,375000
10,UCATNzbTbfeoMhNonZGZmrhA,sHP0UIdZyI4,What Is Coronavirus (COVID-19)?,2020-02-19T17:18:11Z,1689469,9076,972,623,0,Johns Hopkins Medicine,192000
11,UC16niRr50-MSBwiO3YDb3RA,qviEp0Tz6uQ,Coronavirus: South Korea has seen its confirmed cases spike - BBC News,2020-02-21T09:15:09Z,1538355,10706,781,4771,0,BBC News,8150000
12,UCTrQ7HXWRRxr7OsOtodr2_w,rM0S5sc50jA,The coronavirus conspiracy: is there a cover-up in China?,2020-02-25T21:06:29Z,1482185,12624,1337,4736,0,Channel 4 News,1410000
13,UC0InVdvqNyNzKBl1-TL348A,AIsCTZQL5ps,Coronavirus in Hindi | Dr. MS Kanwar | Apollo Hospitals,2020-02-21T06:32:53Z,1451100,15325,1516,0,0,Apollo Hospitals,118000
14,UCknLrEdhRCp1aegoMqRaCZg,kjEZKTr6cpM,New coronavirus cases show no link to China | DW News,2020-02-22T13:28:45Z,1351778,10166,856,4723,0,DW News,1640000
