,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UC8Z-VjXBtDJTvq6aqkIskPg,Vq-9xWMiiVQ,LIVE: Polimer News Live | Tamil News | COVID 19 | Corona Live Updates | Independence Day|Mettur Dam,2020-07-06T08:57:07Z,23889835,51753,12238,0,0,Polimer News,4110000
1,UCiha1h9wDB6MBXQKtttqHUg,Vpwy7j2zbQ4, JURASSIC WORLD CORONAVIRUS THE MUSICAL - Animated Song,2020-07-05T15:30:15Z,10956400,56232,8067,5156,0,LHUGUENY,2780000
2,UCNUvsEya-Jq_Pw1t6R47hew,pFXWpKojuTs,Corona virus kaa ilaaj ghr pr kaise kre? Dr. Manisha || 1mg,2020-07-06T16:00:30Z,5735482,121996,5988,5861,0,1mg,281000
3,UC-CSyyi47VX1lD9zyeABW3w,vt2tcaeQXI0,Reality of COVID-19 Vaccine | Dhruv Rathee,2020-07-07T09:44:04Z,1886464,150907,10458,10816,0,Dhruv Rathee,4150000
4,UCqVHGwQCmmGa2hjS7ydN4sQ,HIPCdz74XUw,"COVID-19, ?COMO IDENTIFICAR EL DIA 1[?] DE LA ENFERMEDAD",2020-07-04T00:30:09Z,1863705,37099,5447,0,0,Dr. Luis Antonio Pacora Camargo,231000
5,UC_lEiu6917IJz03TnntWUaQ,Lx0NKCHeXAI,Los transmisores silenciosos de covid-19,2020-07-07T21:53:23Z,1779427,27372,2918,4082,0,CNN en Español,1940000
6,UCN_P6BgJO9MHFzktKgJzYFw,1GmeD5TQmgQ,"COVID-19: Stage Three, Easing Restrictions in Queensland",2020-07-02T02:09:11Z,1561794,9,6,0,0,Queensland Health,1960
7,UCo7a6riBFJ3tkeHjvkXPn1g,LDk9CW82puo,Vietnam has zero coronavirus deaths. Here's why. | CNBC Reports,2020-07-06T21:00:05Z,1384802,22432,1388,8757,0,CNBC International,864000
8,UCPXTXMecYqnRKNdqdVOGSFg,IJFBWOwtub4,Telugu TV actor Navya Swamy tests positive for coronavirus - TV9,2020-07-02T05:46:46Z,1245260,0,0,171,0,TV9 Telugu Live,6310000
9,UC7E9Dj_lmrJdDrH2Bg7rNqQ,EbM3MM9GNZQ,MHONI VIDENTE predice TERREMOTO y CURA contra el CORONAVIRUS en JULIO 2020,2020-07-02T02:33:48Z,1118813,11098,1780,1173,0,El Heraldo de México,0
10,UC-CSyyi47VX1lD9zyeABW3w,6Ze8O334KzQ,COVID-19 Impact on Education | Dhruv Rathee,2020-07-04T10:25:16Z,1094482,88480,2956,9509,0,Dhruv Rathee,4150000
11,UC0QHWhjbe5fGJEPz3sVb6nw,flzR0DImUbk,Doctor Fact-Checks President Trump On Coronavirus,2020-07-01T21:00:16Z,1082944,94678,2324,16261,0,Doctor Mike,6050000
12,UCxEct2HUBYj_mt4t7qR9UYg,WRwMkJ5EZjY,Coronavirus Closes Down Bondi Beach *EXCLUSIVE SEASON 15 CLIP*,2020-07-07T22:00:07Z,1087780,26860,310,1833,0,BondiRescue,1120000
13,UC_gUM8rL-Lrg6O3adPW9K1g,McMGBwNx7FI,Gravitas: Wuhan floods | Natural or Deliberate?,2020-07-07T19:19:31Z,1057369,13499,1084,2580,0,WION,1600000
14,UCMSsLqxqvZsNXi0Z-VjN89A,w-NZeaEKRng,ICU Doctor: Top 10 Things I learned Treating Coronavirus Patients | COVID-19,2020-07-02T15:05:28Z,1002133,26327,1084,3953,0,Doctor Mike Hansen,375000
15,UCko1TZB_PSKi1HP-CnhVJnw,ltWY3EIfAqI,KADER TIRIGOU  -CORONAVIRUS- (Extended cut),2020-07-03T19:20:03Z,994221,20696,724,559,0,Mini-Pouss Production,0
16,UCPXTXMecYqnRKNdqdVOGSFg,xJDZEIRetkY,"Coronavirus : Groom dies, over 100 guests test positive after attending wedding - TV9",2020-07-01T06:45:22Z,953554,0,0,272,0,TV9 Telugu Live,6310000
17,UCupvZG-5ko_eiXAupbDfxWw,A_rMCaYkk68,US sets alarming new coronavirus record,2020-07-02T21:09:41Z,926236,8041,3928,11070,0,CNN,10400000
18,UCupvZG-5ko_eiXAupbDfxWw,4oXMM2L88W4,US setting records as Covid-19 cases soar,2020-07-05T13:06:41Z,883516,7891,1195,7166,0,CNN,10400000
19,UCaXkIU1QidjPwiAYu6GcHjg,yy-Nz0WBgBY,'National Humiliation': Chris Hayes Compares U.S. COVID-19 Crisis To Rest Of World | All In | MSNBC,2020-07-03T01:23:32Z,863673,15230,1172,8241,0,MSNBC,3370000
20,UCupvZG-5ko_eiXAupbDfxWw,VGZyWPzZu8g,Trump says he believes coronavirus will just disappear,2020-07-01T21:23:37Z,853645,8378,2044,8349,0,CNN,10400000
21,UC0p5jTq6Xx_DosDFxVXnWaQ,pnKsrKuUfBc,Covid-19: what will happen to the global economy? | The Economist,2020-07-03T14:00:29Z,848950,10292,586,1795,0,The Economist,1560000
22,UCDCMjD1XIAsCZsYHNMGVcog,hYtjcDMDhYE,Telangana Corona Tests | Leaders Tested Positive Covid-19| Gold Mask | V6 Teenmaar News,2020-07-04T16:00:39Z,820651,5714,830,357,0,V6 News Telugu,5310000
23,UCoMdktPbSTixAyNGwb-UYkQ,OtDvralYtpo,Which UK cities could face a local COVID-19 lockdown?,2020-07-01T19:14:21Z,752926,2316,1595,2023,0,Sky News,2570000
24,UCC-slLJZ4p4HOznMUcFn_2g,DIbohiYGWxE,COVID-20,2020-07-05T18:35:55Z,766891,98067,354,3166,0,Zalinki,334000
25,UCGzwLkrpclmeHYA9hlw6idg,xmMYsoCJ_vU,"Coronavirus Live Stream: City Traffic, Real Time Cases, Maps, Timelines, News, Economy",2020-07-06T23:10:55Z,751770,1651,166,0,0,Number Story,33900
26,UCaXkIU1QidjPwiAYu6GcHjg,Ly8iZ7ISqAs,Trump Says COVID-19 Crisis Is &#39;Being Handled&#39; As U.S. Sets A New Case Record | The 11th Hour | MSNBC,2020-07-03T05:00:13Z,751478,8042,550,4935,0,MSNBC,3370000
27,UCaXkIU1QidjPwiAYu6GcHjg,Xu4xmwWvehQ,"As COVID Hampers Trump&#39;s Re-Election, GOP Allies Demand He Wear A Mask | MSNBC",2020-07-01T01:35:19Z,701851,9177,311,3781,0,MSNBC,3370000
28,UCQgWpmt02UtJkyO32HGUASQ,-NN89JhzOvk,"L&#39;espion, le Covid et le truand ? Maxime Renahy [EN DIRECT]",2020-07-01T20:18:13Z,695749,9073,615,189,0,Thinkerview,622000
