,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UC3XTzVzaHQEd30rQbuvCtTQ,7rl4c-jr7g0,Coronavirus VI: Testing: Last Week Tonight with John Oliver (HBO),2020-05-04T06:45:00Z,7954672,162521,5687,22431,0,LastWeekTonight,8300000
1,UCiMhD4jzUqG-IgPzUmmytRQ,7LcLqIHzNkY,Queen + Adam Lambert - &#39;You Are The Champions&#39; (New Lockdown version! Recorded on mobile phones!),2020-04-30T23:00:07Z,4490708,92955,3119,8457,0,Queen Official,12900000
2,UCMtFAi84ehTSYSE9XoHefig,RDjHwhooegY,Jared Kushner Declares Trump&#39;s Coronavirus Decision-Making &quot;A Great Success Story&quot;,2020-04-30T03:50:02Z,2604328,39161,1483,6260,0,The Late Show with Stephen Colbert,7740000
3,UCVTyTA7-g9nopHeHbeuvpRA,HMCQwgHMXHw,Trump's Fox News Coronavirus Town Hall: A Closer Look,2020-05-05T03:30:04Z,2470991,39330,1389,6801,0,Late Night with Seth Meyers,3830000
4,UCVTyTA7-g9nopHeHbeuvpRA,SQLPqCcs5I4,"Kushner and Trump Call Coronavirus Response ""Success Story"" and ""Great Job"": A Closer Look",2020-05-01T03:30:02Z,2291652,38659,1125,6172,0,Late Night with Seth Meyers,3830000
5,UCVTyTA7-g9nopHeHbeuvpRA,5ePLlJmZ_bk,Trump Ignored Coronavirus Warnings; Pence Refused to Wear a Mask: A Closer Look,2020-04-30T03:30:00Z,1893104,33899,1097,5722,0,Late Night with Seth Meyers,3830000
6,UCoMdktPbSTixAyNGwb-UYkQ,losKkOfQaB0,Brazilians dig mass graves as Bolsonaro dismisses COVID-19 pandemic as &#39;a little flu&#39;,2020-04-30T21:54:27Z,1749108,7446,1196,1630,0,Sky News,2570000
7,UCsP7Bpw36J666Fct5M8u-ZA,XMHySlDqpUw,Debunking Viral Covid-19 Videos | How To Cook That Ann Reardon,2020-05-01T09:30:09Z,1734628,99681,965,9691,0,How To Cook That,4360000
8,UCDnq05Q89oYq-Tz5boL73Tw,Eh8BOSu5JVw,21 Year Old Mumbai Boy&#39;s Story Of COVID-19 Recovery | Curly Tales,2020-05-01T11:30:00Z,1520054,36408,1446,1616,0,Curly Tales,693000
9,UCVSNOxehfALut52NbkfRBaA,Ji47WRv2tQE,Philippines Cremate Coronavirus Victims,2020-05-03T20:34:08Z,1312565,2753,722,198,0,VOA News,1310000
10,UCa6vGFO9ty8v5KZJXQxdhaw,McY_4gZfuVo,Jimmy Kimmel's Quarantine Monologue - What Trump Was Doing During COVID-19 Warnings,2020-04-29T04:03:54Z,1309623,16647,760,2454,0,Jimmy Kimmel Live,16900000
11,UCETZ7r1_8C1DNFDO-7UXwqw,HHKXYWZYH5E,Alicia Keys - Empire State of Mind (Part II) Broken Down (BET COVID-19 Relief Effort),2020-04-30T21:40:03Z,1291393,43439,420,1549,0,aliciakeysVEVO,2450000
12,UC9RM-iSvTu1uPJb8X5yp3EQ,r2oPk20OHBE,Air Cargo&#39;s Coronavirus Problem,2020-05-05T16:56:29Z,1109005,30995,696,1491,0,Wendover Productions,2670000
13,UCphTF9wHwhCt-BzIq-s4V-g,oSHXOlnmNXI,What Happens If You Were Hospitalized With COVID-19?,2020-05-05T17:12:49Z,1073718,17797,389,1872,0,What If,4210000
14,UC85VW73bQLEjs_taFKP7TwQ,DhtO5kzY5js,What Happens If You Get a Severe Case of COVID-19?,2020-05-05T19:37:40Z,796856,11969,563,1225,0,Nucleus Medical Media,2690000
15,UCHd62-u_v4DvJ8TCFtpi4GA,du6_HQiTH2U,"No shows, no slots, no visitors: Coronavirus devastates Las Vegas",2020-04-30T13:58:10Z,789479,7812,443,2996,0,Washington Post,1380000
16,UC0L1suV8pVgO4pCAIBNGx5w,VLGGU3-kTws,Chinese academic claims Australia&#39;s call for COVID-19 inquiry is &#39;divisive&#39; | 60 Minutes Australia,2020-05-03T11:30:06Z,783449,11913,2085,0,0,60 Minutes Australia,2340000
17,UCH1oRy1dINbMVp3UFWrKP0w,Xyf1ruAeF6c,My entire family survived COVID-19. Here&#39;s what I wish I knew earlier l GMA Digital,2020-05-01T08:00:12Z,754412,10501,439,1740,0,Good Morning America,1870000
18,UCcYiIZUngqrEH94uQBjDEyQ,s1Y9epUwgZo,"HOW I SURVIVED COVID-19 | My CORONAVIRUS recovery timeline, symptoms, and self-isolation strategies",2020-05-01T17:28:54Z,679560,11398,561,3963,0,Charlotte Knight,3680
19,UC_lEiu6917IJz03TnntWUaQ,1f8DQQH-PDw,"Danna Garcia, dos veces positivo por covid-19; antes tuvo dengue, zika y chikungunya",2020-04-30T04:49:37Z,627341,6753,468,2072,0,CNN en Español,1940000
20,UCG45hMChrxiQjuFc3CiF87A,TdIsTLg7RQM,What Is PCR Testing for COVID-19?,2020-04-29T12:25:59Z,609183,1671,266,375,0,AACC,4260
21,UCnEiGCE13SUI7ZvojTAVBKw,u1AQ5EXcJYc,"The race for a COVID-19 vaccine, explained",2020-04-30T15:11:34Z,597659,21584,16996,0,0,Bill Gates,2250000
22,UCVTyTA7-g9nopHeHbeuvpRA,C03IpdZw874,Ricky Gervais Foresaw Trump's Coronavirus Bleach Controversy,2020-05-05T10:00:06Z,569719,6870,234,600,0,Late Night with Seth Meyers,3830000
23,UCjQbTcszB-gRhDByY9WhySw,ZI-lnoXiop4,My Thoughts on Self-Quarantine and COVID-19 | From Bishop T.D. Jakes,2020-05-03T18:15:14Z,563698,17158,884,4657,0,T.D. Jakes,936000
24,UCIRYBXDze5krPDzAEOxFGVA,zXXFf0Q2bcU,Armed protesters enter Michigan&#39;s state capitol demanding end to coronavirus lockdown,2020-05-01T04:14:20Z,557662,1826,573,3119,0,Guardian News,1270000
25,UCphTF9wHwhCt-BzIq-s4V-g,_O4B7yHpB2o,What If the Coronavirus Mutated?,2020-04-30T15:04:01Z,538449,15708,432,2181,0,What If,4210000
