,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,channelTitle,subscriberCount
0,UCdOSeEq9Cs2Pco7OCn2_i5w,fraxH3rvU84,TV9 Marathi Live | Parth Pawar | CoronaVirus | Corona Vaccine Updates | ttiivhii9 mraatthii LIVE,2020-01-29T12:06:30Z,280036412,0,0,0,0,TV9 Marathi,3460000
1,UCC552Sd-3nyi_tk2BudLUzA,OTYfke545vI,What Actually Happens If You Get Coronavirus?,2020-01-30T06:24:32Z,12371490,436880,12899,34903,0,AsapSCIENCE,9400000
2,UChLtXXpo4Ge1ReTEboVvTDg,NytLE5ECa8M,Coronavirus outbreak: Mother of sick daughter from virus-hit region pleads for help,2020-02-01T15:28:20Z,8305865,41830,3559,7410,0,Global News,1950000
3,UC0QHWhjbe5fGJEPz3sVb6nw,LI90iqFqLXs,The Truth About The Coronavirus (Jan 2020),2020-01-29T22:30:00Z,5676792,303431,4235,33400,0,Doctor Mike,6050000
4,UCG-iSMVtWbbwDDXgXXypARQ,okg7uq_HrhQ,How Coronavirus Kills: Acute Respiratory Distress Syndrome (ARDS) &amp; COVID-19 Treatment,2020-01-29T01:17:08Z,3845311,53682,1723,5642,0,MedCram - Medical Lectures Explained CLEARLY,804000
5,UC16niRr50-MSBwiO3YDb3RA,6vHEJL-RVMk,Coronavirus: Death toll rises as virus spreads to every Chinese region - BBC News,2020-01-30T07:22:13Z,3740839,27970,1977,13885,0,BBC News,8150000
6,UC4SUWizzKc1tptprBkWjX2Q,Zru5REL9ANg,Coronavirus: what we know so far about the outbreak spreading in China and abroad,2020-02-02T13:16:33Z,3627742,18593,1622,2082,0,South China Morning Post,1320000
7,UCupvZG-5ko_eiXAupbDfxWw,eEUqCxP5Lvc,Coronavirus whistleblower doctor is online hero in China,2020-02-04T15:26:54Z,3512181,34292,1623,8519,0,CNN,10400000
8,UCuFFtHWoLl5fauMMD5Ww2jA,kIL5m5XznNY,Get the facts on coronavirus,2020-02-02T00:11:45Z,3275279,39801,1648,4448,0,CBC News,2240000
9,UCeY0bbntWzzVIaj2z3QigXg,1U1VYck6KOo,"See Inside COVID-19 Hospital, Filmed By Wuhan Resident, Later Confronted By Police | NBC News",2020-02-04T22:16:06Z,2391262,7787,771,1222,0,NBC News,3690000
10,UCknLrEdhRCp1aegoMqRaCZg,6DBFwIlT4fg,Coronavirus spreads to India and Philippines | DW News,2020-01-30T14:07:15Z,1253092,8897,813,4015,0,DW News,1640000
11,UCftwRNsjfRo08xYE31tkiyw,aUy2DKZODgs,Doctor Explains What You Need to Know About Coronavirus | WIRED,2020-01-31T20:00:03Z,930319,22400,1782,2779,0,WIRED,6780000
12,UC55HiTglyGMk1B33Lx9X7CQ,qJKmLTDLyws,Coronavirus | What Is Coronavirus | Symptoms Of Coronavirus,2020-02-03T16:00:08Z,888716,8275,527,1962,0,AbrahamThePharmacist,275000
13,UCNye-wNBqNL5ZzHSJj3l8Bg,AUS-W81mElQ,China: Covering the Coronavirus Contagion | The Listening Post (Full),2020-02-01T13:37:49Z,884386,6503,576,1763,0,Al Jazeera English,5640000
14,UCGMWT3CM6uMuuRSOIYITeLw,KFfNwdguK4o,Elodie Poux - Le Coronavirus - LRDP (27/01/2020),2020-01-31T17:34:49Z,833773,8634,356,0,0,Kalmia Productions,13600
15,UC9f78Z5hgtDt0n8JWyfBk8Q,LkBvDzM3TpE,Lessons from China&#39;s early coronavirus response,2020-02-04T18:44:02Z,729813,8362,1059,2216,0,Quartz,425000
16,UCupvZG-5ko_eiXAupbDfxWw,eHBOJtFK9V0,Coronavirus declared a global health emergency,2020-01-30T22:34:33Z,658910,5824,712,4054,0,CNN,10400000
17,UCZYTClx2T1of7BRZ86-8fow,wfPF6_KRR_U,What We Know About the New Coronavirus | January 2020,2020-01-31T22:20:35Z,658100,29833,1122,3002,0,SciShow,6350000
18,UC16niRr50-MSBwiO3YDb3RA,zwCoPEOqU7o,Coronavirus: Reporter begins quarantine at home after visiting infected zone - BBC News,2020-01-29T15:24:38Z,598235,4769,309,2407,0,BBC News,8150000
19,UCG-iSMVtWbbwDDXgXXypARQ,MN9-UXsvPBY,"Coronavirus Epidemic Update 5: Mortality Rate vs SARS / Influenza (Recorded January 29, 2020)",2020-01-29T09:04:03Z,528718,8309,292,1900,0,MedCram - Medical Lectures Explained CLEARLY,804000
20,UChirEOpgFCupRAk5etXqPaA,cdqUD7n6x8w,China Completes Wuhan Coronavirus Hospital in 10 Days,2020-02-03T09:26:36Z,513885,3966,413,2633,0,Bloomberg QuickTake News,482000
21,UCG-iSMVtWbbwDDXgXXypARQ,nW3xqcGidpQ,"Coronavirus Epidemic Update 7: Global Health Emergency Declared, Viral Shedding (Rec. Jan 31, 2020)",2020-01-31T09:16:58Z,462459,8891,226,2180,0,MedCram - Medical Lectures Explained CLEARLY,804000
22,UCG-iSMVtWbbwDDXgXXypARQ,8Hjy3UfaTSc,"Coronavirus Epidemic Update 9: Fecal-Oral Transmission, Recovery vs Death Rate (nCoV)",2020-02-03T16:19:56Z,442642,8453,211,1382,0,MedCram - Medical Lectures Explained CLEARLY,804000
23,UCG-iSMVtWbbwDDXgXXypARQ,UGxgNebx1pg,"Coronavirus Outbreak Update 6: Asymptomatic Transmission &amp; Incubation Period (Recorded Jan 30, 2020)",2020-01-30T18:38:30Z,438148,5890,170,1256,0,MedCram - Medical Lectures Explained CLEARLY,804000
24,UCF9IOB2TExg3QIBupFtBDxg,xotNiLJDT-c,"Coronavirus, Disease evolution",2020-01-30T13:14:17Z,362600,10111,207,2672,0,Dr. John Campbell,722000
25,UCfRZKrhLs6HbL5jEc3OL82w,9-t_GMMaGdw,Quels sont les symptomes de l&#39;infection par le coronavirus de la maladie Covid-19 ?,2020-01-29T13:49:23Z,249648,691,93,198,0,Hopitaux Universitaires de Genève,108000
26,UCFPvnkCZbHfBvV8ApBBE0vA,aFPyYoGViZs,"Introduction to Coronaviruses (SARS, MERS, COVID-19): Hosts, Symptoms, History of SARS and MERS",2020-02-02T12:15:00Z,235643,3196,125,351,0,JJ Medicine,117000
27,UCPY9IKSkr2GfFW5jbgA5Qbw,4KFP3tay5vM,Medical Animation explaining Coronavirus Mechanism of Action - How Coronavirus attacks a human body,2020-01-30T15:59:40Z,181767,985,42,38,0,Scientific Animations,0
28,UCFPvnkCZbHfBvV8ApBBE0vA,Ac_jL_1u-Ic,"Coronavirus 2019 (COVID-19): Symptoms, Incubation, Risk Factors, Diagnosis, Treatment, Prevention",2020-02-03T21:24:51Z,147146,941,56,129,0,JJ Medicine,117000
29,UClIZqOLqUCro7bKztUjYCNA,3yQj-Mscn7k,Coronavirus anxiety (Covid-19): How to stop worrying about your health,2020-01-29T21:37:48Z,79438,1965,54,567,0,The Psych Show,93600
30,UCNpEVhVG2helPVL5PFmUHvA,O-x_3r4FysE,China uses drones to patrol citizens during Wuhan coronavirus outbreak I @WON TV,2020-02-01T14:30:03Z,31984,153,19,0,0,WON TV,1060
31,UCLceH3lxcC5SZ7EQn8McfrQ,PHtgniM-Nt0,I said &#39;you dropped your coronavirus,2020-01-31T16:55:48Z,10939,29,5,46,0,Harry Smith,0
32,UCywwo967AxHH2UayATbas2w,PX9qZWwOxzM,CORONAVIRUS: Consegui Comprar Mascaras N95 / Um Alo Rapido de Hong Kong,2020-02-04T13:02:45Z,10506,222,11,84,0,Ricardo Menezes,2490
33,UCsAjyPyKPi74Trx1t3Mxqjw,QWNXjS6Uzss,ALERTA MUNDIAL : ESTOS SON TODOS LOS PAISES INFECTADOS POR CORONAVIRUS HASTA EL MOMENTO!!,2020-01-29T23:20:02Z,6383,65,7,6,0,Ministerio Cristiano 7,32800
